"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"UI: Update notes of client","0","testClientUpdateNotes","Surefire suite","Fri Dec 13 01:46:02 GMT 2024","skipped","Fri Dec 13 01:46:02 GMT 2024","com.lista.automation.ui.tests.ClientTest","Surefire test","com.lista.automation.ui.tests.ClientTest","testClientUpdateNotes"
"","0","setUp","Surefire suite","Fri Dec 13 01:45:58 GMT 2024","broken","Fri Dec 13 01:45:58 GMT 2024","com.lista.automation.ui.tests.GroupTest","Surefire test","com.lista.automation.ui.tests.GroupTest","setUp"
"UI: junior worker create group ->login to admin account and verify visibility of group ->delete group within Admin account","0","testScopeJunior_GroupVisibility","Surefire suite","Fri Dec 13 01:45:48 GMT 2024","skipped","Fri Dec 13 01:45:48 GMT 2024","com.lista.automation.ui.tests.ScopeTest","Surefire test","com.lista.automation.ui.tests.ScopeTest","testScopeJunior_GroupVisibility"
"UI: admin worker create client ->login to junior account and verify visibility of client ->delete client within Junior account","0","testScopeAdmin_ClientVisibility","Surefire suite","Fri Dec 13 01:45:48 GMT 2024","skipped","Fri Dec 13 01:45:48 GMT 2024","com.lista.automation.ui.tests.ScopeTest","Surefire test","com.lista.automation.ui.tests.ScopeTest","testScopeAdmin_ClientVisibility"
"UI: Update debts of client","9","testClientUpdateDebts","Surefire suite","Fri Dec 13 01:46:02 GMT 2024","skipped","Fri Dec 13 01:46:02 GMT 2024","com.lista.automation.ui.tests.ClientTest","Surefire test","com.lista.automation.ui.tests.ClientTest","testClientUpdateDebts"
"UI: admin/junior/readonly create appointments ->switching between workers -> verify appointment visibility of each worker","0","testScopeSwiper_AppointmentVisibility","Surefire suite","Fri Dec 13 01:45:48 GMT 2024","skipped","Fri Dec 13 01:45:48 GMT 2024","com.lista.automation.ui.tests.ScopeTest","Surefire test","com.lista.automation.ui.tests.ScopeTest","testScopeSwiper_AppointmentVisibility"
"Create appointment in UI","0","testCreateAppointment","Surefire suite","Fri Dec 13 01:45:54 GMT 2024","skipped","Fri Dec 13 01:45:54 GMT 2024","com.lista.automation.ui.tests.AppointmentTest","Surefire test","com.lista.automation.ui.tests.AppointmentTest","testCreateAppointment"
"UI: Delete client group","0","testGroupDelete","Surefire suite","Fri Dec 13 01:45:58 GMT 2024","skipped","Fri Dec 13 01:45:58 GMT 2024","com.lista.automation.ui.tests.GroupTest","Surefire test","com.lista.automation.ui.tests.GroupTest","testGroupDelete"
"UI: admin worker create appointment ->login as junior worker and verify invisibility of appointment ->login as readonly worker and verify invisibility of appointment","0","testScopeAdmin_AppointmentVisibility","Surefire suite","Fri Dec 13 01:45:48 GMT 2024","skipped","Fri Dec 13 01:45:48 GMT 2024","com.lista.automation.ui.tests.ScopeTest","Surefire test","com.lista.automation.ui.tests.ScopeTest","testScopeAdmin_AppointmentVisibility"
"","0","testGetUsers","Surefire suite","Fri Dec 13 01:46:02 GMT 2024","skipped","Fri Dec 13 01:46:02 GMT 2024","com.lista.automation.ui.tests.ClientTest","Surefire test","com.lista.automation.ui.tests.ClientTest","testGetUsers"
"UI: admin worker create group ->login to junior account and verify visibility of group ->delete group within Junior account","0","testScopeAdmin_GroupVisibility","Surefire suite","Fri Dec 13 01:45:48 GMT 2024","skipped","Fri Dec 13 01:45:48 GMT 2024","com.lista.automation.ui.tests.ScopeTest","Surefire test","com.lista.automation.ui.tests.ScopeTest","testScopeAdmin_GroupVisibility"
"UI: Update service","1","testServiceUpdate","Surefire suite","Fri Dec 13 01:45:43 GMT 2024","skipped","Fri Dec 13 01:45:43 GMT 2024","com.lista.automation.ui.tests.ServiceTest","Surefire test","com.lista.automation.ui.tests.ServiceTest","testServiceUpdate"
"UI: Change Calendar first day","0","testCalendarSettings","Surefire suite","Fri Dec 13 01:45:51 GMT 2024","skipped","Fri Dec 13 01:45:51 GMT 2024","com.lista.automation.ui.tests.CalendarSettingsTest","Surefire test","com.lista.automation.ui.tests.CalendarSettingsTest","testCalendarSettings"
"","0","setUp","Surefire suite","Fri Dec 13 01:46:02 GMT 2024","broken","Fri Dec 13 01:46:02 GMT 2024","com.lista.automation.ui.tests.ClientTest","Surefire test","com.lista.automation.ui.tests.ClientTest","setUp"
"Change calendar view and delete appointment in UI","0","testDeleteAppointment","Surefire suite","Fri Dec 13 01:45:54 GMT 2024","skipped","Fri Dec 13 01:45:54 GMT 2024","com.lista.automation.ui.tests.AppointmentTest","Surefire test","com.lista.automation.ui.tests.AppointmentTest","testDeleteAppointment"
"UI: Create service","1","testServiceCreate","Surefire suite","Fri Dec 13 01:45:43 GMT 2024","skipped","Fri Dec 13 01:45:43 GMT 2024","com.lista.automation.ui.tests.ServiceTest","Surefire test","com.lista.automation.ui.tests.ServiceTest","testServiceCreate"
"UI: Update personal info of client","0","testClientUpdatePersonalInfo","Surefire suite","Fri Dec 13 01:46:02 GMT 2024","skipped","Fri Dec 13 01:46:02 GMT 2024","com.lista.automation.ui.tests.ClientTest","Surefire test","com.lista.automation.ui.tests.ClientTest","testClientUpdatePersonalInfo"
"UI: Update gallery of client","1","testClientUpdateGallery","Surefire suite","Fri Dec 13 01:46:02 GMT 2024","skipped","Fri Dec 13 01:46:02 GMT 2024","com.lista.automation.ui.tests.ClientTest","Surefire test","com.lista.automation.ui.tests.ClientTest","testClientUpdateGallery"
"","0","setUp","Surefire suite","Fri Dec 13 01:45:54 GMT 2024","broken","Fri Dec 13 01:45:54 GMT 2024","com.lista.automation.ui.tests.AppointmentTest","Surefire test","com.lista.automation.ui.tests.AppointmentTest","setUp"
"UI: admin worker create service ->login to junior account and verify visibility of service ->delete service within Junior account","1","testScopeAdmin_ServiceVisibility","Surefire suite","Fri Dec 13 01:45:48 GMT 2024","skipped","Fri Dec 13 01:45:48 GMT 2024","com.lista.automation.ui.tests.ScopeTest","Surefire test","com.lista.automation.ui.tests.ScopeTest","testScopeAdmin_ServiceVisibility"
"UI: junior worker create service ->login to admin account and verify visibility of service ->delete service within Admin account","0","testScopeJunior_ServiceVisibility","Surefire suite","Fri Dec 13 01:45:48 GMT 2024","skipped","Fri Dec 13 01:45:48 GMT 2024","com.lista.automation.ui.tests.ScopeTest","Surefire test","com.lista.automation.ui.tests.ScopeTest","testScopeJunior_ServiceVisibility"
"UI: Delete member from group","0","testDeleteMemberFromGroup","Surefire suite","Fri Dec 13 01:45:58 GMT 2024","skipped","Fri Dec 13 01:45:58 GMT 2024","com.lista.automation.ui.tests.GroupTest","Surefire test","com.lista.automation.ui.tests.GroupTest","testDeleteMemberFromGroup"
"UI: junior worker create client ->login to admin account and verify visibility of client ->delete client within Admin account","0","testScopeJunior_ClientVisibility","Surefire suite","Fri Dec 13 01:45:48 GMT 2024","skipped","Fri Dec 13 01:45:48 GMT 2024","com.lista.automation.ui.tests.ScopeTest","Surefire test","com.lista.automation.ui.tests.ScopeTest","testScopeJunior_ClientVisibility"
"UI: junior worker create appointment ->login as readonly worker and verify invisibility of appointment ->login as admin worker and verify invisibility of appointment","0","testScopeJunior_AppointmentVisibility","Surefire suite","Fri Dec 13 01:45:48 GMT 2024","skipped","Fri Dec 13 01:45:48 GMT 2024","com.lista.automation.ui.tests.ScopeTest","Surefire test","com.lista.automation.ui.tests.ScopeTest","testScopeJunior_AppointmentVisibility"
"UI: Delete client","0","testDeleteClient","Surefire suite","Fri Dec 13 01:46:02 GMT 2024","skipped","Fri Dec 13 01:46:02 GMT 2024","com.lista.automation.ui.tests.ClientTest","Surefire test","com.lista.automation.ui.tests.ClientTest","testDeleteClient"
"UI: Menu of default groups","0","testMenuDefaultGroups","Surefire suite","Fri Dec 13 01:45:58 GMT 2024","skipped","Fri Dec 13 01:45:58 GMT 2024","com.lista.automation.ui.tests.GroupTest","Surefire test","com.lista.automation.ui.tests.GroupTest","testMenuDefaultGroups"
"UI: Create client","0","testClientCreate","Surefire suite","Fri Dec 13 01:46:02 GMT 2024","skipped","Fri Dec 13 01:46:02 GMT 2024","com.lista.automation.ui.tests.ClientTest","Surefire test","com.lista.automation.ui.tests.ClientTest","testClientCreate"
"","0","setUp","Surefire suite","Fri Dec 13 01:45:51 GMT 2024","broken","Fri Dec 13 01:45:51 GMT 2024","com.lista.automation.ui.tests.CalendarSettingsTest","Surefire test","com.lista.automation.ui.tests.CalendarSettingsTest","setUp"
"Create empty appointment in UI","0","testCreateEmptyAppointment","Surefire suite","Fri Dec 13 01:45:54 GMT 2024","skipped","Fri Dec 13 01:45:54 GMT 2024","com.lista.automation.ui.tests.AppointmentTest","Surefire test","com.lista.automation.ui.tests.AppointmentTest","testCreateEmptyAppointment"
"Change appointment time by drag and drop in UI","0","testDragAndDropAppointment","Surefire suite","Fri Dec 13 01:45:54 GMT 2024","skipped","Fri Dec 13 01:45:54 GMT 2024","com.lista.automation.ui.tests.AppointmentTest","Surefire test","com.lista.automation.ui.tests.AppointmentTest","testDragAndDropAppointment"
"UI: Add member into group","0","testAddMemberIntoGroup","Surefire suite","Fri Dec 13 01:45:58 GMT 2024","skipped","Fri Dec 13 01:45:58 GMT 2024","com.lista.automation.ui.tests.GroupTest","Surefire test","com.lista.automation.ui.tests.GroupTest","testAddMemberIntoGroup"
"","0","setUp","Surefire suite","Fri Dec 13 01:45:48 GMT 2024","broken","Fri Dec 13 01:45:48 GMT 2024","com.lista.automation.ui.tests.ScopeTest","Surefire test","com.lista.automation.ui.tests.ScopeTest","setUp"
"UI: Rename client group","0","testGroupRename","Surefire suite","Fri Dec 13 01:45:58 GMT 2024","skipped","Fri Dec 13 01:45:58 GMT 2024","com.lista.automation.ui.tests.GroupTest","Surefire test","com.lista.automation.ui.tests.GroupTest","testGroupRename"
"UI: Change Calendar view","0","testCalendarView","Surefire suite","Fri Dec 13 01:45:51 GMT 2024","skipped","Fri Dec 13 01:45:51 GMT 2024","com.lista.automation.ui.tests.CalendarSettingsTest","Surefire test","com.lista.automation.ui.tests.CalendarSettingsTest","testCalendarView"
"UI: Delete service","1","testServiceDelete","Surefire suite","Fri Dec 13 01:45:43 GMT 2024","skipped","Fri Dec 13 01:45:43 GMT 2024","com.lista.automation.ui.tests.ServiceTest","Surefire test","com.lista.automation.ui.tests.ServiceTest","testServiceDelete"
"Add new client during appointment creation in UI","0","testAddClientDuringAppointmentCreation","Surefire suite","Fri Dec 13 01:45:54 GMT 2024","skipped","Fri Dec 13 01:45:54 GMT 2024","com.lista.automation.ui.tests.AppointmentTest","Surefire test","com.lista.automation.ui.tests.AppointmentTest","testAddClientDuringAppointmentCreation"
"UI: Create client group","0","testGroupCreate","Surefire suite","Fri Dec 13 01:45:58 GMT 2024","skipped","Fri Dec 13 01:45:58 GMT 2024","com.lista.automation.ui.tests.GroupTest","Surefire test","com.lista.automation.ui.tests.GroupTest","testGroupCreate"
"","2","setUp","Surefire suite","Fri Dec 13 01:45:43 GMT 2024","broken","Fri Dec 13 01:45:43 GMT 2024","com.lista.automation.ui.tests.ServiceTest","Surefire test","com.lista.automation.ui.tests.ServiceTest","setUp"
